IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain
191,2214,50.713315217391305,87.86157608695653,5,18
191,2215,22.0,94.13583333333334,1,18
191,2237,39.494680851063826,93.03914893617022,5,18
191,2254,62.142857142857146,77.73142857142857,1,18
191,2342,17.857142857142858,69.28999999999999,5,18
191,2343,74.72222222222223,72.94833333333332,5,18
191,2372,36.0,31.085,9,14
191,2384,135.0,75.42,1,18
191,2396,15.5,39.31,1,18
191,2409,74.93636363636364,89.70763636363637,1,18
191,2411,24.291666666666668,74.38083333333333,5,18
191,2412,82.92307692307692,90.44307692307692,1,18
191,2416,51.5,76.47999999999999,1,18
191,2418,43.3125,79.02250000000001,9,18
191,2423,46.73913043478261,86.89086956521739,1,18
191,2475,25.071428571428573,85.5442857142857,1,18
191,2476,52.175925925925924,83.96888888888888,5,18
191,2504,72.85,76.36,16,18
191,2564,76.1029411764706,69.70764705882353,1,18
191,2567,62.1,84.088,1,18
191,2580,96.0,52.17,1,14
191,2649,31.944444444444443,68.06111111111112,1,18
191,2652,16.142857142857142,75.89,5,18
191,2713,72.17857142857143,75.58428571428571,1,18
191,2727,52.0,80.4375,1,18
191,2734,27.0,31.4,12,18
191,2748,11.5,71.88,1,18
191,2777,50.0,79.37,4,18
191,2796,50.625,24.17,1,18
191,2935,40.0,52.63,1,18
191,2971,39.48,83.2272,16,18
191,2973,101.25,79.78,15,18
191,2988,26.8,67.76,1,11
191,2990,38.666666666666664,55.423333333333325,1,18
191,3024,24.5,96.11500000000001,1,18
191,3057,37.625,50.74625,1,18
191,3086,89.38461538461539,91.87615384615385,1,18
191,3087,62.15277777777778,83.58527777777778,5,18
191,3167,32.5,20.7,13,18
191,3187,27.0,74.346,1,18
191,3234,25.5,98.08,1,18
191,3284,15.0,101.36333333333333,1,18
191,3396,18.208333333333332,68.88666666666667,5,18
191,3423,61.58620689655172,92.1151724137931,16,18
191,3490,58.0,76.98666666666666,1,18
192,8,88.96118881118882,40.14741258741259,9,21
192,103,121.33333333333333,30.22666666666667,15,16
192,587,11.333333333333334,34.73666666666667,5,21
192,588,50.666666666666664,55.89333333333334,11,21
192,589,20.26551724137931,32.667931034482756,5,12
192,620,46.88636363636363,42.16090909090909,1,21
192,674,55.3327205882353,40.51691176470588,9,21
192,705,43.2,44.54,5,12
192,709,56.0,10.37,15,16
192,714,9.5,21.546666666666667,12,16
192,720,0.4,0.68,13,16
192,721,0.4,0.68,1,16
192,735,25.2,46.67,9,12
192,738,2.4,0.61,1,13
192,746,24.5,6.1850000000000005,16,13
192,779,82.23015873015873,35.06809523809524,9,12
192,781,20.0,46.51,9,12
192,803,8.845,5.017,9,13
192,842,64.0,17.44,12,13
192,845,25.0,29.07,12,12
192,871,22.625,47.145,1,19
192,894,16.5,50.455,9,19
192,896,28.8,26.18,12,13
192,912,45.71666666666667,43.10041666666667,9,12
192,913,12.733333333333334,31.016666666666666,9,12
192,916,12.0,8.89,9,13
192,973,29.0,23.77,1,13
192,1001,38.9,45.11333333333334,9,12
192,1053,81.125,47.58,9,12
192,1054,7.0,43.75,1,21
192,1092,5.4,49.09,5,21
192,1097,17.0,19.77,15,13
192,1140,32.5,43.8,9,12
192,1142,43.2,17.01,12,13
192,1157,36.0,17.06,1,13
192,1203,14.85,55.0,9,12
192,1250,0.9,0.62,1,13
192,1251,13.333333333333334,7.276666666666667,1,13
192,1345,43.2,24.97,1,13
192,1388,28.0,11.76,1,13
192,1411,0.35,0.6799999999999999,9,13
192,1463,16.8,25.85,9,12
192,1503,19.0,20.65,5,13
192,1533,0.4,0.71,15,13
192,1536,22.0,23.4,1,13
192,1643,59.5,20.8,1,13
192,1681,1.4,17.959,9,21
192,1686,5.466666666666666,5.13,9,13
192,1720,33.0,55.93,9,12
192,1814,28.0,19.44,1,13
192,1843,16.8,44.21,9,12
192,1852,21.5,20.87,1,13
192,1938,0.3,0.7,9,16
192,1970,31.5,13.88,9,13
192,1990,30.0,42.86,9,12
192,2060,9.75,3.23,1,13
192,2061,22.5,13.89,1,13
192,2088,94.0,49.74,12,13
192,2098,21.0,18.619999999999997,1,13
192,2332,43.2,24.97,1,13
192,2503,27.0,10.51,1,13
192,2572,42.0,25.93,1,12
192,2652,20.0,5.97,5,13
192,2727,26.0,11.76,1,13
192,2782,22.5,6.41,16,13
192,2821,18.0,42.86,9,12
192,2971,23.5,20.8,16,21
192,3092,14.5,2.77,13,13
192,3123,39.5,48.77,1,13
192,3125,9.5,22.47,1,13
192,3178,16.0,13.91,1,13
192,3203,10.071428571428571,8.022857142857143,1,13
192,3204,9.447368421052632,7.656315789473684,1,13
192,3207,18.2,7.470000000000001,4,13
192,3254,5.0,1.41,9,13
192,3275,15.0,55.56,5,12
192,3363,18.0,28.95,1,13
192,3368,49.5,51.03,1,13
193,8,41.58947368421053,53.01315789473684,9,13
193,103,27.175,5.845,15,13
193,556,11.58125,36.2775,13,13
193,574,15.328800000000001,45.20439999999999,1,13
193,575,23.62,128.21857142857144,1,13
193,581,61.0,51.69,13,13
193,587,31.27692307692308,55.84384615384616,5,13
193,588,15.271428571428572,19.38714285714286,11,13
193,589,12.759677419354839,23.905645161290323,5,13
193,608,0.6000000000000001,1.21,15,13
193,609,9.75,11.21,13,13
193,612,10.799999999999999,59.95499999999999,15,13
193,615,13.8375,6.33,13,13
193,616,46.5,581.25,1,13
193,620,20.25,20.955000000000002,1,13
193,629,29.0,25.89,13,13
193,633,13.700000000000001,201.66666666666666,12,13
193,642,45.5,19.04,13,13
193,674,35.028571428571425,48.55428571428571,9,13
193,680,4.8,1.02,1,13
193,688,0.62,1.63,12,16
193,689,0.62,0.6,15,13
193,709,3.3000000000000003,90.06333333333333,15,13
193,711,6.375,9.375,5,13
193,714,0.5,0.58,12,13
193,716,12.0,24.49,13,13
193,720,0.4,0.62,13,13
193,735,75.8,209.3325,9,13
193,738,9.15,138.29500000000002,1,13
193,746,42.41428571428571,33.54857142857143,16,13
193,752,12.0,9.23,12,13
193,754,50.0,51.55,1,13
193,756,12.016666666666666,14.273333333333333,12,13
193,764,36.0,6.67,16,13
193,779,40.55,62.05625,9,13
193,780,66.0,50.77,9,13
193,781,22.5,14.5075,9,12
193,782,50.0,51.55,12,13
193,793,17.089999999999996,157.692,12,13
193,796,15.2,350.235,12,13
193,799,95.0,64.63,9,13
193,803,7.397142857142857,9.348,9,13
193,809,3.4,0.67,1,13
193,811,24.0,24.74,9,13
193,820,13.6,76.49857142857142,9,13
193,826,6.75,12.5,12,13
193,827,5.5,1.08,16,13
193,839,22.85,207.0,1,13
193,842,17.133333333333333,109.71500000000002,12,13
193,843,23.175,69.065,16,13
193,845,23.86315789473684,17.45157894736842,12,13
193,848,5.6,70.0,1,13
193,853,17.5,206.435,1,13
193,854,12.0,2.22,1,13
193,856,10.333333333333334,65.77666666666666,1,13
193,857,6.975,29.394999999999996,12,13
193,860,15.566666666666668,102.90333333333335,1,13
193,863,8.6,190.195,12,13
193,865,11.5,7.32,1,13
193,868,1.5,0.29,1,13
193,888,0.65,0.0,12,13
193,890,0.65,0.0,1,13
193,892,3.6,0.71,1,13
193,894,71.5,222.07999999999998,9,13
193,896,24.613333333333333,74.39166666666667,12,13
193,912,21.35625,10.610624999999999,9,13
193,913,9.959999999999999,24.402,9,13
193,914,17.1,427.5,9,13
193,927,28.0,8.64,12,13
193,929,24.0,6.43,12,13
