,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
54,191,1997,38.0,66.67,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
55,191,2086,33.0,78.57,9,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
56,191,2178,48.125,83.34875,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
57,191,2197,65.025,74.332,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
58,191,2210,23.5,68.08500000000001,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
59,191,2213,50.4,91.74,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
60,191,2214,50.713315217391305,87.86157608695653,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
61,191,2215,22.0,94.13583333333334,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
62,191,2237,39.49468085106383,93.03914893617022,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
63,191,2254,62.142857142857146,77.73142857142857,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
64,191,2342,17.857142857142858,69.28999999999999,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
65,191,2343,74.72222222222223,72.94833333333332,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
66,191,2372,36.0,31.085,9,14,2,2,Brideuse,23,5.588,90.0,1,41.0,11
67,191,2384,135.0,75.42,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
68,191,2396,15.5,39.31,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
69,191,2409,74.93636363636364,89.70763636363637,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
70,191,2411,24.291666666666668,74.38083333333333,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
71,191,2412,82.92307692307692,90.44307692307692,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
72,191,2416,51.5,76.47999999999999,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
73,191,2418,43.3125,79.02250000000001,9,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
74,191,2423,46.73913043478261,86.89086956521739,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
75,191,2475,25.071428571428573,85.5442857142857,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
76,191,2476,52.17592592592592,83.96888888888888,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
77,191,2504,72.85,76.36,16,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
